Route_id,Origin,Destination
ABE-ATL,ABE,ATL
AEX-ATL,AEX,ATL
DFW-DTW,DFW,DTW
DFW-MSP,DFW,MSP
PIT-BOS,PIT,BOS
PIT-JFK,PIT,JFK
PIT-MSP,PIT,MSP
AGS-ATL,AGS,ATL
HSV-ATL,HSV,ATL
ATL-ABE,ATL,ABE
ATL-AEX,ATL,AEX
ATL-AGS,ATL,AGS
ATL-AVL,ATL,AVL
ATL-BHM,ATL,BHM
ATL-BMI,ATL,BMI
ATL-BTR,ATL,BTR
ATL-BTV,ATL,BTV
ATL-CAE,ATL,CAE
ATL-CAK,ATL,CAK
ATL-CHA,ATL,CHA
ATL-CHO,ATL,CHO
ATL-CID,ATL,CID
ATL-CRW,ATL,CRW
ATL-CSG,ATL,CSG
ATL-DSM,ATL,DSM
ATL-ELM,ATL,ELM
ATL-EVV,ATL,EVV
ATL-EWN,ATL,EWN
ATL-EYW,ATL,EYW
ATL-FSD,ATL,FSD
ATL-FSM,ATL,FSM
ATL-GNV,ATL,GNV
ATL-GPT,ATL,GPT
ATL-GSO,ATL,GSO
ATL-GTR,ATL,GTR
ATL-HPN,ATL,HPN
ATL-HSV,ATL,HSV
ATL-ILM,ATL,ILM
ATL-JAN,ATL,JAN
ATL-LEX,ATL,LEX
ATL-LFT,ATL,LFT
ATL-LIT,ATL,LIT
ATL-LNK,ATL,LNK
ATL-MDT,ATL,MDT
ATL-MGM,ATL,MGM
ATL-MYR,ATL,MYR
ATL-OAJ,ATL,OAJ
ATL-PHF,ATL,PHF
ATL-PIA,ATL,PIA
ATL-SDF,ATL,SDF
ATL-SGF,ATL,SGF
ATL-SHV,ATL,SHV
ATL-TLH,ATL,TLH
ATL-TRI,ATL,TRI
ATL-TUL,ATL,TUL
ATL-TYS,ATL,TYS
ATL-VPS,ATL,VPS
ATW-DTW,ATW,DTW
ATW-MSP,ATW,MSP
AUS-DTW,AUS,DTW
AUS-MSP,AUS,MSP
CWA-DTW,CWA,DTW
CWA-MSP,CWA,MSP
AVL-ATL,AVL,ATL
AVP-DTW,AVP,DTW
SHV-ATL,SHV,ATL
BDL-MSP,BDL,MSP
BGR-LGA,BGR,LGA
BHM-ATL,BHM,ATL
BIS-MSP,BIS,MSP
CAK-ATL,CAK,ATL
CLE-DTW,CLE,DTW
CLE-JFK,CLE,JFK
CLE-MSP,CLE,MSP
BMI-ATL,BMI,ATL
BNA-BOS,BNA,BOS
BOS-BNA,BOS,BNA
BOS-CVG,BOS,CVG
BOS-JFK,BOS,JFK
BOS-RDU,BOS,RDU
BTR-ATL,BTR,ATL
BTV-ATL,BTV,ATL
BTV-DTW,BTV,DTW
BTV-JFK,BTV,JFK
BTV-LGA,BTV,LGA
BUF-JFK,BUF,JFK
BUF-LGA,BUF,LGA
BWI-JFK,BWI,JFK
DCA-JFK,DCA,JFK
